SALE TYPE,SOLD DATE,PROPERTY.TYPE,ADDRESS,CITY,STATE.OR.PROVINCE,ZIP.OR.POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,Eden Rd,Mansfield,TX,76060,350000,0,,Adams Farm,,217800,,40,,,Active,,,14381109,N,Y,32.615136,-97.19985
MLS Listing,,Single Family Residential,2411 Doncaster Dr,Forney,TX,75126,269369,3,2,Devonshire,1598,4356,2020,10,169,40,Active,,,14408862,N,Y,32.77728,-96.428251
MLS Listing,,Single Family Residential,6934 Aspen Creek Ln,Dallas,TX,75252,385000,3,2,Highland Creek Manor,1940,4356,1997,11,198,175,Active,,,14389534,N,Y,32.9998321,-96.7831764
MLS Listing,,Condo/Co-op,4315 Holland Ave #20,Dallas,TX,75219,390000,2,2.5,Holland Oaks Condo,1922,39945,2003,40,203,333,Active,,,14381169,N,Y,32.8184324,-96.8097039
MLS Listing,,Single Family Residential,17554 SEQUOIA Dr,Dallas,TX,75252,535000,4,3.5,University Place Add,2875,4356,2018,11,186,54,Active,,,14406315,N,Y,32.9897421,-96.7611046
MLS Listing,,Single Family Residential,2948 Sicily Way #1201,Lewisville,TX,75067,399990,4,2.5,Villas At Coppell Twnhms,2702,4356,2007,12,148,239,Active,,,14405568,N,Y,32.9884835,-96.9896834
MLS Listing,,Townhouse,2001 Bethlehem St,Irving,TX,75061,309000,4,3,The Crossings at Hard Rock,1734,4356,2020,13,178,225,Active,,,14404198,N,Y,32.8339996,-97.0108426
MLS Listing,,Single Family Residential,6235 Cupertino Trl,Dallas,TX,75252,325000,4,2.5,Bent Trail Add Ph Four,2344,4356,1993,16,139,46,Active,,,14403149,N,Y,33.0043724,-96.7971107
MLS Listing,,Single Family Residential,5620 Traveller Dr,North Richland Hills,TX,76180,405425,4,3,Iron Horse Commons,2389,4356,2020,16,170,120,Active,,,14391857,N,Y,32.848163,-97.241246
MLS Listing,,Condo/Co-op,4777 Cedar Springs Rd Unit 2J,Dallas,TX,75219,189000,2,1.5,Parkside Cedar Spgs Condo,874,185217,1983,40,216,350,Active,,,14382404,N,Y,32.8184739,-96.8215343
